max_depth,learning_rate,n_estimators,mean_kappa,model_class
6,0.1,100,0.4525647623949219,XGB
6,0.1,200,0.4525647623949219,XGB
6,0.1,500,0.4525647623949219,XGB
6,0.3,100,0.6019900497512438,XGB
6,0.3,200,0.6019900497512438,XGB
6,0.3,500,0.6019900497512438,XGB
6,0.5,100,0.6019900497512438,XGB
6,0.5,200,0.6019900497512438,XGB
6,0.5,500,0.6019900497512438,XGB
9,0.1,100,0.4525647623949219,XGB
9,0.1,200,0.4525647623949219,XGB
9,0.1,500,0.4525647623949219,XGB
9,0.3,100,0.6019900497512438,XGB
9,0.3,200,0.6019900497512438,XGB
9,0.3,500,0.6019900497512438,XGB
9,0.5,100,0.6019900497512438,XGB
9,0.5,200,0.6019900497512438,XGB
9,0.5,500,0.6019900497512438,XGB
12,0.1,100,0.4525647623949219,XGB
12,0.1,200,0.4525647623949219,XGB
12,0.1,500,0.4525647623949219,XGB
12,0.3,100,0.6019900497512438,XGB
12,0.3,200,0.6019900497512438,XGB
12,0.3,500,0.6019900497512438,XGB
12,0.5,100,0.6019900497512438,XGB
12,0.5,200,0.6019900497512438,XGB
12,0.5,500,0.6019900497512438,XGB
