var,fi,fi_rank,dataset,scenario,model_class,heldout_model,cv,attack
target_targets_consistency_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_targets_consistency_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
targets_and_approxs_consistency_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_diversity_in_neighborhood_mean,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_diversity_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_diversity_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_diversity_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_diversity_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_diversity_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
target_diversity_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
approx_diversity_in_neighborhood_mean,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
approx_diversity_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
approx_diversity_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
approx_diversity_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
approx_diversity_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
approx_diversity_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
approx_diversity_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
bacc_test_mean,0.7977562546730042,1.0,,10-fold cross-validation,XGB,,3.0,
bacc_test_q0,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
bacc_test_q25,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
bacc_test_q50,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
bacc_test_q75,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
bacc_test_q1,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
bacc_test_minmax,0.0,38.5,,10-fold cross-validation,XGB,,3.0,
n_test,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
n_classes,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
neighborhood_size_mean,0.039957694709300995,3.0,,10-fold cross-validation,XGB,,4.0,
neighborhood_size_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
neighborhood_size_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
neighborhood_size_q50,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
neighborhood_size_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
neighborhood_size_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
neighborhood_size_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
uncertainty_mean,0.05491700395941734,2.0,,10-fold cross-validation,XGB,,4.0,
uncertainty_q0,0.0034224926494061947,8.0,,10-fold cross-validation,XGB,,4.0,
uncertainty_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
uncertainty_q50,0.012348796240985394,5.0,,10-fold cross-validation,XGB,,4.0,
uncertainty_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
uncertainty_q1,0.003502558683976531,7.0,,10-fold cross-validation,XGB,,4.0,
uncertainty_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_approx_consistency_in_neighborhood_mean,0.006050824653357267,6.0,,10-fold cross-validation,XGB,,4.0,
target_approx_consistency_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_approx_consistency_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_approx_consistency_in_neighborhood_q50,0.00312652881257236,9.0,,10-fold cross-validation,XGB,,4.0,
target_approx_consistency_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_approx_consistency_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_approx_consistency_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
pred_targets_consistency_in_neighborhood_mean,0.020349372178316116,4.0,,10-fold cross-validation,XGB,,4.0,
pred_targets_consistency_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
pred_targets_consistency_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
pred_targets_consistency_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
pred_targets_consistency_in_neighborhood_q75,0.003006327897310257,10.0,,10-fold cross-validation,XGB,,4.0,
pred_targets_consistency_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
pred_targets_consistency_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_targets_consistency_in_neighborhood_mean,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_targets_consistency_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_targets_consistency_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_targets_consistency_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_targets_consistency_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_targets_consistency_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_targets_consistency_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
targets_and_approxs_consistency_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_diversity_in_neighborhood_mean,0.0018770835595205426,11.0,,10-fold cross-validation,XGB,,4.0,
target_diversity_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_diversity_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_diversity_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_diversity_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_diversity_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
target_diversity_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
approx_diversity_in_neighborhood_mean,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
approx_diversity_in_neighborhood_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
approx_diversity_in_neighborhood_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
approx_diversity_in_neighborhood_q50,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
approx_diversity_in_neighborhood_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
approx_diversity_in_neighborhood_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
approx_diversity_in_neighborhood_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
bacc_test_mean,0.8514413237571716,1.0,,10-fold cross-validation,XGB,,4.0,
bacc_test_q0,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
bacc_test_q25,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
bacc_test_q50,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
bacc_test_q75,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
bacc_test_q1,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
bacc_test_minmax,0.0,38.5,,10-fold cross-validation,XGB,,4.0,
n_test,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
n_classes,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
neighborhood_size_mean,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
neighborhood_size_q0,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
neighborhood_size_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
neighborhood_size_q50,0.0792425125837326,3.0,,10-fold cross-validation,XGB,,5.0,
neighborhood_size_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
neighborhood_size_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
neighborhood_size_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
uncertainty_mean,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
uncertainty_q0,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
uncertainty_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
uncertainty_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
uncertainty_q75,0.028220288455486298,4.0,,10-fold cross-validation,XGB,,5.0,
uncertainty_q1,0.003660782240331173,8.0,,10-fold cross-validation,XGB,,5.0,
uncertainty_minmax,0.01436314545571804,7.0,,10-fold cross-validation,XGB,,5.0,
target_approx_consistency_in_neighborhood_mean,0.014614703133702278,6.0,,10-fold cross-validation,XGB,,5.0,
target_approx_consistency_in_neighborhood_q0,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_approx_consistency_in_neighborhood_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_approx_consistency_in_neighborhood_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_approx_consistency_in_neighborhood_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_approx_consistency_in_neighborhood_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_approx_consistency_in_neighborhood_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
pred_targets_consistency_in_neighborhood_mean,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
pred_targets_consistency_in_neighborhood_q0,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
pred_targets_consistency_in_neighborhood_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
pred_targets_consistency_in_neighborhood_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
pred_targets_consistency_in_neighborhood_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
pred_targets_consistency_in_neighborhood_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
pred_targets_consistency_in_neighborhood_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_targets_consistency_in_neighborhood_mean,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_targets_consistency_in_neighborhood_q0,0.1652451753616333,2.0,,10-fold cross-validation,XGB,,5.0,
target_targets_consistency_in_neighborhood_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_targets_consistency_in_neighborhood_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_targets_consistency_in_neighborhood_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_targets_consistency_in_neighborhood_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_targets_consistency_in_neighborhood_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
targets_and_approxs_consistency_in_neighborhood_q0,0.024633675813674927,5.0,,10-fold cross-validation,XGB,,5.0,
targets_and_approxs_consistency_in_neighborhood_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_diversity_in_neighborhood_mean,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_diversity_in_neighborhood_q0,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_diversity_in_neighborhood_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_diversity_in_neighborhood_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_diversity_in_neighborhood_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_diversity_in_neighborhood_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
target_diversity_in_neighborhood_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
approx_diversity_in_neighborhood_mean,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
approx_diversity_in_neighborhood_q0,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
approx_diversity_in_neighborhood_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
approx_diversity_in_neighborhood_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
approx_diversity_in_neighborhood_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
approx_diversity_in_neighborhood_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
approx_diversity_in_neighborhood_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
bacc_test_mean,0.6700196862220764,1.0,,10-fold cross-validation,XGB,,5.0,
bacc_test_q0,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
bacc_test_q25,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
bacc_test_q50,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
bacc_test_q75,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
bacc_test_q1,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
bacc_test_minmax,0.0,37.0,,10-fold cross-validation,XGB,,5.0,
n_test,0.007964463904500008,10.0,,10-fold cross-validation,XGB,,6.0,
n_classes,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
neighborhood_size_mean,0.0307144895195961,2.0,,10-fold cross-validation,XGB,,6.0,
neighborhood_size_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
neighborhood_size_q25,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
neighborhood_size_q50,0.006120487581938505,12.0,,10-fold cross-validation,XGB,,6.0,
neighborhood_size_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
neighborhood_size_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
neighborhood_size_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
uncertainty_mean,0.02952515333890915,3.0,,10-fold cross-validation,XGB,,6.0,
uncertainty_q0,0.0076832035556435585,11.0,,10-fold cross-validation,XGB,,6.0,
uncertainty_q25,0.012791112065315247,8.0,,10-fold cross-validation,XGB,,6.0,
uncertainty_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
uncertainty_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
uncertainty_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
uncertainty_minmax,0.015024813823401928,6.0,,10-fold cross-validation,XGB,,6.0,
target_approx_consistency_in_neighborhood_mean,0.02855163812637329,4.0,,10-fold cross-validation,XGB,,6.0,
target_approx_consistency_in_neighborhood_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_approx_consistency_in_neighborhood_q25,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_approx_consistency_in_neighborhood_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_approx_consistency_in_neighborhood_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_approx_consistency_in_neighborhood_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_approx_consistency_in_neighborhood_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
pred_targets_consistency_in_neighborhood_mean,0.014156442135572433,7.0,,10-fold cross-validation,XGB,,6.0,
pred_targets_consistency_in_neighborhood_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
pred_targets_consistency_in_neighborhood_q25,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
pred_targets_consistency_in_neighborhood_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
pred_targets_consistency_in_neighborhood_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
pred_targets_consistency_in_neighborhood_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
pred_targets_consistency_in_neighborhood_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_targets_consistency_in_neighborhood_mean,0.0233299657702446,5.0,,10-fold cross-validation,XGB,,6.0,
target_targets_consistency_in_neighborhood_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_targets_consistency_in_neighborhood_q25,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_targets_consistency_in_neighborhood_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_targets_consistency_in_neighborhood_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_targets_consistency_in_neighborhood_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_targets_consistency_in_neighborhood_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
targets_and_approxs_consistency_in_neighborhood_q25,0.011809539049863815,9.0,,10-fold cross-validation,XGB,,6.0,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_diversity_in_neighborhood_mean,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_diversity_in_neighborhood_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_diversity_in_neighborhood_q25,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_diversity_in_neighborhood_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_diversity_in_neighborhood_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_diversity_in_neighborhood_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
target_diversity_in_neighborhood_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
approx_diversity_in_neighborhood_mean,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
approx_diversity_in_neighborhood_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
approx_diversity_in_neighborhood_q25,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
approx_diversity_in_neighborhood_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
approx_diversity_in_neighborhood_q75,0.004603500943630934,13.0,,10-fold cross-validation,XGB,,6.0,
approx_diversity_in_neighborhood_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
approx_diversity_in_neighborhood_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
bacc_test_mean,0.807725191116333,1.0,,10-fold cross-validation,XGB,,6.0,
bacc_test_q0,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
bacc_test_q25,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
bacc_test_q50,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
bacc_test_q75,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
bacc_test_q1,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
bacc_test_minmax,0.0,39.5,,10-fold cross-validation,XGB,,6.0,
n_test,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
n_classes,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
neighborhood_size_mean,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
neighborhood_size_q0,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
neighborhood_size_q25,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
neighborhood_size_q50,0.01623937301337719,8.0,,10-fold cross-validation,XGB,,7.0,
neighborhood_size_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
neighborhood_size_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
neighborhood_size_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
uncertainty_mean,0.018170887604355812,7.0,,10-fold cross-validation,XGB,,7.0,
uncertainty_q0,0.02336275205016136,4.0,,10-fold cross-validation,XGB,,7.0,
uncertainty_q25,0.018588943406939507,6.0,,10-fold cross-validation,XGB,,7.0,
uncertainty_q50,0.003048897720873356,13.0,,10-fold cross-validation,XGB,,7.0,
uncertainty_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
uncertainty_q1,0.0029603736475110054,14.0,,10-fold cross-validation,XGB,,7.0,
uncertainty_minmax,0.015237164683640003,9.0,,10-fold cross-validation,XGB,,7.0,
target_approx_consistency_in_neighborhood_mean,0.03727711737155914,3.0,,10-fold cross-validation,XGB,,7.0,
target_approx_consistency_in_neighborhood_q0,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_approx_consistency_in_neighborhood_q25,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_approx_consistency_in_neighborhood_q50,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_approx_consistency_in_neighborhood_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_approx_consistency_in_neighborhood_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_approx_consistency_in_neighborhood_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
pred_targets_consistency_in_neighborhood_mean,0.00509814266115427,11.0,,10-fold cross-validation,XGB,,7.0,
pred_targets_consistency_in_neighborhood_q0,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
pred_targets_consistency_in_neighborhood_q25,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
pred_targets_consistency_in_neighborhood_q50,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
pred_targets_consistency_in_neighborhood_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
pred_targets_consistency_in_neighborhood_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
pred_targets_consistency_in_neighborhood_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_targets_consistency_in_neighborhood_mean,0.022968575358390808,5.0,,10-fold cross-validation,XGB,,7.0,
target_targets_consistency_in_neighborhood_q0,0.14299218356609344,2.0,,10-fold cross-validation,XGB,,7.0,
target_targets_consistency_in_neighborhood_q25,0.0018766747089102864,15.0,,10-fold cross-validation,XGB,,7.0,
target_targets_consistency_in_neighborhood_q50,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_targets_consistency_in_neighborhood_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_targets_consistency_in_neighborhood_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_targets_consistency_in_neighborhood_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
targets_and_approxs_consistency_in_neighborhood_q25,0.011834637261927128,10.0,,10-fold cross-validation,XGB,,7.0,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_diversity_in_neighborhood_mean,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_diversity_in_neighborhood_q0,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_diversity_in_neighborhood_q25,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_diversity_in_neighborhood_q50,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_diversity_in_neighborhood_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_diversity_in_neighborhood_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
target_diversity_in_neighborhood_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
approx_diversity_in_neighborhood_mean,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
approx_diversity_in_neighborhood_q0,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
approx_diversity_in_neighborhood_q25,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
approx_diversity_in_neighborhood_q50,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
approx_diversity_in_neighborhood_q75,0.003474640427157283,12.0,,10-fold cross-validation,XGB,,7.0,
approx_diversity_in_neighborhood_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
approx_diversity_in_neighborhood_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
bacc_test_mean,0.6768696904182434,1.0,,10-fold cross-validation,XGB,,7.0,
bacc_test_q0,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
bacc_test_q25,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
bacc_test_q50,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
bacc_test_q75,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
bacc_test_q1,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
bacc_test_minmax,0.0,40.5,,10-fold cross-validation,XGB,,7.0,
n_test,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
n_classes,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
neighborhood_size_mean,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
neighborhood_size_q0,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
neighborhood_size_q25,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
neighborhood_size_q50,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
neighborhood_size_q75,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
neighborhood_size_q1,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
neighborhood_size_minmax,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
uncertainty_mean,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
uncertainty_q0,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
uncertainty_q25,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
uncertainty_q50,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
uncertainty_q75,0.0,33.5,,10-fold cross-validation,XGB,,8.0,
