dataset , model, attack, epsilon, steps, n_samples, clean_acc         , adv_acc             , clean_bacc        , adv_bacc           , acc_drop             , bacc_drop            , asr               , l0_mean             , l2_mean               , linf_mean
banknote,svm,zoo,,100,275,1.0,0.13818181818181818,1.0,0.12418300653594772,0.8618181818181818,0.8758169934640523,0.8618181818181818,4.0,0.1423916071653366,0.08807727694511414
banknote,svm,hsj,,100,275,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.14208537340164185,0.10163050889968872
banknote,svm,lpf,,100,275,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.9018181818181819,0.3351383629420312,0.25698167917902004
banknote,xgb,zoo,,100,275,0.9963636363636363,0.16,0.9967320261437909,0.1512643308689596,0.8363636363636363,0.8454676952748312,0.8394160583941606,2.4545454545454546,0.16859571635723114,0.14742766320705414
banknote,xgb,hsj,,100,275,0.9963636363636363,0.0036363636363636364,0.9967320261437909,0.0032679738562091504,0.9927272727272727,0.9934640522875817,1.0,3.9963636363636366,0.1642431914806366,0.15477630496025085
diabetes,lin,zoo,,100,154,0.7337662337662337,0.012987012987012988,0.6757407407407408,0.018518518518518517,0.7207792207792207,0.6572222222222223,0.9823008849557522,3.9805194805194803,0.2408221811056137,0.13719099760055542
diabetes,lin,hsj,,100,154,0.7337662337662337,0.2662337662337662,0.6757407407407408,0.32425925925925925,0.4675324675324675,0.3514814814814815,1.0,7.675324675324675,0.21735474467277527,0.16928687691688538
diabetes,lin,lpf,,100,154,0.7337662337662337,1.0,0.6757407407407408,1.0,-0.26623376623376627,-0.32425925925925925,0.0,7.207792207792208,0.3749577670494091,0.27983366862410536
diabetes,svm,zoo,,100,154,0.7337662337662337,0.16233766233766234,0.7012962962962963,0.13777777777777778,0.5714285714285714,0.5635185185185185,0.7787610619469026,3.4805194805194803,0.19813916087150574,0.11500955373048782
diabetes,svm,hsj,,100,154,0.7337662337662337,0.2662337662337662,0.7012962962962963,0.2987037037037037,0.4675324675324675,0.4025925925925926,1.0,7.246753246753247,0.19109751284122467,0.14354275166988373
diabetes,svm,lpf,,100,154,0.7337662337662337,1.0,0.7012962962962963,1.0,-0.26623376623376627,-0.2987037037037037,0.0,7.9935064935064934,0.42047558144635594,0.29193534636016855
diabetes,xgb,zoo,,100,154,0.7402597402597403,0.1038961038961039,0.7105555555555556,0.08851851851851852,0.6363636363636364,0.622037037037037,0.8596491228070176,2.3051948051948052,0.18517588078975677,0.13065297901630402
diabetes,xgb,hsj,,100,154,0.7402597402597403,0.2597402597402597,0.7105555555555556,0.28944444444444445,0.48051948051948057,0.42111111111111116,1.0,7.538961038961039,0.1349119246006012,0.12092000991106033
